accession	species	gene_id	chrom	start	end	len_bp	strand	class	tier	status	len_aa	model
hcy_V2R064	hcy	LOC_00008105	ch2	324629538	324644982	15444	neg	partial	T2	partial	620	eviann
hcy_V2R065	hcy	LOC_00008106	ch2	324950063	324966469	16406	neg	intact	T2	functional	849	eviann
hcy_V2R066	hcy	LOC_00008107	ch2	325064200	325078942	14742	neg	intact	T2	functional	848	eviann
hcy_V2R067	hcy	LOC_00008108	ch2	325161425	325176150	14725	neg	intact	T2	functional	848	miniprot
hcy_V2R068	hcy	LOC_00008109	ch2	325183520	325193504	9984	pos	intact	T2	functional	773	eviann
hcy_V2R069	hcy	LOC_00008110	ch2	325407415	325432885	25470	pos	intact	T2	functional	848	miniprot
hcy_V2R070	hcy	LOC_00008116	ch2	325919904	325926436	6532	pos	intact	T2	functional	725	eviann
hcy_V2R071	hcy	LOC_00008118	ch2	326019582	326025865	6283	neg	partial	T2	partial	620	eviann
hcy_V2R072	hcy	LOC_00008120	ch2	326158586	326164883	6297	neg	partial	T2	partial	620	eviann
hcy_V2R073	hcy	LOC_00008137	ch2	326806464	326832836	26372	pos	intact	T2	functional	849	eviann
hcy_V2R074	hcy	LOC_00008138	ch2	326961133	326975888	14755	neg	intact	T2	functional	798	eviann
hcy_V2R075	hcy	LOC_00008139	ch2	327079330	327080239	909	neg	fragmented	T2	partial	302	eviann
hcy_V2R076	hcy	LOC_00008148	ch2	327421103	327422012	909	neg	fragmented	T2	partial	302	eviann
hcy_V2R077	hcy	LOC_00008151	ch2	327872812	327884509	11697	neg	intact	T2	functional	844	eviann
hcy_V2R078	hcy	LOC_00008152	ch2	327933789	327934698	909	pos	fragmented	T2	partial	302	eviann
hcy_V2R079	hcy	LOC_00008211	ch2	331021394	331037588	16194	neg	intact	T2	pseudogene	870	eviann
hcy_V2R080	hcy	LOC_00008212	ch2	331078679	331090655	11976	neg	intact	T2	functional	861	miniprot
hcy_V2R081	hcy	LOC_00008213	ch2	331106229	331118755	12526	neg	intact	T2	functional	859	miniprot
hcy_V2R082	hcy	LOC_00008214	ch2	331150900	331156542	5642	neg	intact	T2	pseudogene	861	miniprot
hcy_V2R083	hcy	LOC_00008215	ch2	331183948	331201070	17122	neg	intact	T2	pseudogene	859	miniprot
hcy_V2R084	hcy	LOC_00008240	ch2	331812692	331829725	17033	pos	intact	T2	functional	844	eviann
hcy_V2R085	hcy	LOC_00008241	ch2	331840740	331841037	297	neg	NA	NA	partial	98	NA
hcy_V2R086	hcy	LOC_00008242	ch2	331910074	331950813	40739	neg	partial	T2	partial	580	eviann
hcy_V2R087	hcy	LOC_00008243	ch2	331995700	332012830	17130	pos	intact	T2	pseudogene	844	eviann
hcy_V2R088	hcy	LOC_00008460	ch2	337527717	337540190	12473	neg	intact	T2	functional	849	eviann
hcy_V2R089	hcy	LOC_00008461	ch2	337568190	337574330	6140	pos	intact	T2	functional	848	miniprot
hcy_V2R090	hcy	LOC_00008554	ch2	339647583	339658800	11217	neg	intact	T2	pseudogene	856	eviann
hcy_V2R091	hcy	LOC_00008555	ch2	339689391	339706855	17464	neg	intact	T2	functional	853	eviann
hcy_V2R092	hcy	LOC_00008556	ch2	339870633	339898489	27856	neg	intact	T2	functional	851	miniprot
hcy_V2R093	hcy	LOC_00008558	ch2	339919372	339923261	3889	pos	fragmented	T2	partial	318	eviann
hcy_V2R094	hcy	LOC_00008559	ch2	339998106	340003354	5248	pos	fragmented	T2	partial	102	eviann
hcy_V2R095	hcy	LOC_00008577	ch2	340824605	340834176	9571	neg	fragmented	T2	partial	214	eviann
hcy_V2R096	hcy	LOC_00008587	ch2	341292852	341310269	17417	neg	fragmented	T2	partial	347	eviann
hcy_V2R097	hcy	LOC_00008588	ch2	341412368	341429425	17057	pos	intact	T2	functional	844	eviann
hcy_V2R098	hcy	LOC_00008589	ch2	341472161	341488567	16406	pos	intact	T2	functional	751	eviann
hcy_V2R099	hcy	LOC_00008590	ch2	341785594	341804269	18675	neg	intact	T2	functional	850	miniprot
hcy_V2R100	hcy	LOC_00008591	ch2	341837994	341858705	20711	pos	intact	T2	functional	843	miniprot
hcy_V2R101	hcy	LOC_00008592	ch2	341993556	342004806	11250	pos	intact	T2	functional	851	eviann
hcy_V2R102	hcy	LOC_00008595	ch2	342834657	342838582	3925	neg	intact	T2	pseudogene	863	miniprot
hcy_V2R103	hcy	LOC_00008603	ch2	343160054	343165786	5732	neg	fragmented	T2	pseudogene	403	eviann
hcy_V2R104	hcy	LOC_00008604	ch2	343209676	343213508	3832	pos	fragmented	T2	partial	180	eviann
hcy_V2R105	hcy	LOC_00008606	ch2	343362249	343373856	11607	pos	intact	T2	functional	850	miniprot
hcy_V2R106	hcy	LOC_00008610	ch2	343612529	343613444	915	pos	fragmented	T2	partial	304	eviann
hcy_V2R107	hcy	LOC_00008611	ch2	343630077	343638380	8303	pos	intact	T2	pseudogene	769	eviann
hcy_V2R108	hcy	LOC_00008612	ch2	343672015	343672918	903	neg	fragmented	T2	partial	300	eviann
hcy_V2R109	hcy	LOC_00008613	ch2	343750187	343757068	6881	neg	intact	T2	functional	853	eviann
hcy_V2R110	hcy	LOC_00008615	ch2	344007485	344015809	8324	pos	intact	T2	pseudogene	769	eviann
hcy_V2R111	hcy	LOC_00008616	ch2	344028009	344038660	10651	pos	intact	T2	pseudogene	769	eviann
hcy_V2R112	hcy	LOC_00008617	ch2	344074658	344075561	903	neg	fragmented	T2	partial	300	eviann
hcy_V2R113	hcy	LOC_00008618	ch2	344158550	344165432	6882	neg	intact	T2	functional	853	eviann
hcy_V2R114	hcy	LOC_00008619	ch2	344229769	344236650	6881	neg	intact	T2	functional	853	eviann
hcy_V2R115	hcy	LOC_00008620	ch2	344282950	344294633	11683	neg	intact	T2	pseudogene	857	miniprot
hcy_V2R116	hcy	LOC_00008621	ch2	344345146	344348302	3156	neg	fragmented	T2	partial	317	eviann
hcy_V2R117	hcy	LOC_00008622	ch2	344492703	344506295	13592	pos	intact	T2	pseudogene	838	miniprot
hcy_V2R118	hcy	LOC_00008643	ch2	345210147	345211107	960	neg	fragmented	T2	partial	319	eviann
hcy_V2R119	hcy	LOC_00008644	ch2	345320608	345393312	72704	pos	intact	T2	functional	999	eviann
hcy_V2R120	hcy	LOC_00008645	ch2	345331599	345332505	906	pos	intact	T2	functional	247	eviann
hcy_V2R121	hcy	LOC_00008646	ch2	345962347	345982427	20080	neg	intact	T2	functional	850	miniprot
hcy_V2R122	hcy	LOC_00008647	ch2	346008110	346008854	744	neg	intact	T2	functional	869	miniprot
hcy_V2R123	hcy	LOC_00008648	ch2	346014271	346016939	2668	neg	intact	T2	functional	869	miniprot
hcy_V2R124	hcy	LOC_00008649	ch2	346076156	346078823	2667	pos	fragmented	T2	partial	166	eviann
hcy_V2R125	hcy	LOC_00008650	ch2	346364098	346392676	28578	pos	intact	T2	functional	846	eviann
hcy_V2R126	hcy	LOC_00008651	ch2	346465625	346466534	909	neg	fragmented	T2	partial	302	eviann
hcy_V2R127	hcy	LOC_00008652	ch2	346600161	346604823	4662	pos	fragmented	T2	partial	439	eviann
hcy_V2R128	hcy	LOC_00008668	ch2	347219603	347238368	18765	neg	intact	T2	pseudogene	869	miniprot
hcy_V2R129	hcy	LOC_00008670	ch2	347322628	347341688	19060	neg	intact	T2	pseudogene	865	eviann
hcy_V2R130	hcy	LOC_00008671	ch2	347351924	347366380	14456	neg	fragmented	T2	pseudogene	359	eviann
hcy_V2R131	hcy	LOC_00008673	ch2	347471082	347484078	12996	neg	intact	T2	pseudogene	865	eviann
hcy_V2R132	hcy	LOC_00008676	ch2	347533816	347555374	21558	pos	intact	T2	pseudogene	873	eviann
hcy_V2R133	hcy	LOC_00008691	ch2	348211839	348229763	17924	neg	intact	T2	functional	847	miniprot
hcy_V2R134	hcy	LOC_00008721	ch2	349037446	349049908	12462	pos	intact	T2	functional	851	eviann
hcy_V2R135	hcy	LOC_00008722	ch2	349089628	349103514	13886	neg	intact	T2	functional	843	miniprot
hcy_V2R136	hcy	LOC_00008741	ch2	349607635	349612621	4986	pos	fragmented	T2	partial	197	eviann
hcy_V2R137	hcy	LOC_00008742	ch2	349661856	349682864	21008	neg	intact	T2	functional	849	eviann
hcy_V2R138	hcy	LOC_00008749	ch2	349934827	349954601	19774	pos	intact	T2	functional	850	eviann
hcy_V2R139	hcy	LOC_00008750	ch2	349982957	350019804	36847	pos	intact	T2	functional	850	miniprot
hcy_V2R140	hcy	LOC_00008751	ch2	350234156	350239215	5059	neg	intact	T2	functional	849	miniprot
hcy_V2R141	hcy	LOC_00008819	ch2	351610719	351611628	909	pos	fragmented	T2	partial	302	eviann
hcy_V2R142	hcy	LOC_00008840	ch2	352313583	352324222	10639	neg	intact	T2	functional	849	eviann
hcy_V2R143	hcy	LOC_00008841	ch2	352340970	352360615	19645	pos	intact	T2	functional	847	eviann
hcy_V2R144	hcy	LOC_00008842	ch2	352389125	352393951	4826	pos	fragmented	T2	partial	395	eviann
hcy_V2R145	hcy	LOC_00008845	ch2	352500206	352511010	10804	pos	intact	T2	functional	849	eviann
hcy_V2R146	hcy	LOC_00008846	ch2	352514452	352531033	16581	pos	intact	T2	functional	849	eviann
hcy_V2R147	hcy	LOC_00008879	ch2	353265775	353276424	10649	neg	intact	T2	functional	850	miniprot
hcy_V2R148	hcy	LOC_00008880	ch2	353334493	353347102	12609	neg	intact	T2	functional	847	miniprot
hcy_V2R149	hcy	LOC_00008881	ch2	353421038	353421960	922	pos	fragmented	T2	partial	185	eviann
hcy_V2R150	hcy	LOC_00008885	ch2	353737807	353738716	909	neg	fragmented	T2	partial	302	eviann
hcy_V2R151	hcy	LOC_00008886	ch2	353914839	354242242	327403	pos	intact	T2	functional	841	eviann
hcy_V2R152	hcy	LOC_00008889	ch2	354134702	354145033	10331	neg	intact	T2	functional	849	eviann
hcy_V2R153	hcy	LOC_00008890	ch2	354195975	354224444	28469	neg	intact	T2	functional	847	eviann
hcy_V2R154	hcy	LOC_00008898	ch2	355055110	355065725	10615	neg	intact	T2	functional	849	miniprot
hcy_V2R155	hcy	LOC_00008901	ch2	355449479	355467494	18015	pos	intact	T2	functional	845	eviann
hcy_V2R156	hcy	LOC_00008902	ch2	355548836	355553857	5021	neg	intact	T2	functional	849	miniprot
hcy_V2R157	hcy	LOC_00008903	ch2	355662646	355676223	13577	neg	intact	T2	functional	656	eviann
hcy_V2R158	hcy	LOC_00008904	ch2	355732379	355930865	198486	pos	intact	T2	functional	847	eviann
hcy_V2R159	hcy	LOC_00008905	ch2	355795232	355796141	909	neg	intact	T2	functional	302	eviann
hcy_V2R160	hcy	LOC_00008906	ch2	356252224	356262556	10332	pos	intact	T2	functional	849	eviann
hcy_V2R161	hcy	LOC_00008909	ch2	356442096	356459161	17065	pos	intact	T2	functional	845	miniprot
hcy_V2R162	hcy	LOC_00008911	ch2	356676875	356692852	15977	neg	intact	T2	functional	849	miniprot
hcy_V2R163	hcy	LOC_00008912	ch2	356746981	356758033	11052	pos	partial	T2	partial	509	eviann
hcy_V2R164	hcy	LOC_00008913	ch2	356798850	356799594	744	pos	intact	T2	functional	869	miniprot
hcy_V2R165	hcy	LOC_00008914	ch2	356864322	356867287	2965	neg	fragmented	T2	partial	166	eviann
hcy_V2R166	hcy	LOC_00008915	ch2	356935370	356944734	9364	neg	intact	T2	pseudogene	883	miniprot
hcy_V2R167	hcy	LOC_00008916	ch2	357037279	357054305	17026	pos	intact	T2	functional	849	miniprot
hcy_V2R168	hcy	LOC_00008917	ch2	357106316	357111461	5145	pos	intact	T2	functional	659	eviann
hcy_V2R169	hcy	LOC_00008918	ch2	357193111	357237269	44158	neg	intact	T2	functional	847	eviann
hcy_V2R170	hcy	LOC_00008920	ch2	357331414	357383852	52438	neg	intact	T2	functional	847	eviann
hcy_V2R171	hcy	LOC_00008922	ch2	357699544	357710833	11289	pos	fragmented	T2	partial	512	eviann
hcy_V2R172	hcy	LOC_00008933	ch2	358553148	358575412	22264	neg	intact	T2	functional	850	eviann
hcy_V2R173	hcy	LOC_00008936	ch2	358698686	358714825	16139	pos	intact	T2	pseudogene	878	miniprot
hcy_V2R174	hcy	LOC_00008937	ch2	358751603	358752512	909	neg	fragmented	T2	partial	302	eviann
hcy_V2R175	hcy	LOC_00008938	ch2	358890409	358905018	14609	neg	fragmented	T2	partial	532	eviann
hcy_V2R176	hcy	LOC_00008939	ch2	359196111	359197071	960	pos	fragmented	T2	partial	314	eviann
hcy_V2R177	hcy	LOC_00008941	ch2	359233208	359234153	945	pos	fragmented	T2	partial	314	eviann
hcy_V2R178	hcy	LOC_00008942	ch2	359305937	359306897	960	pos	fragmented	T2	partial	314	eviann
hcy_V2R179	hcy	LOC_00008943	ch2	359356452	359361508	5056	neg	intact	T2	functional	849	miniprot
hcy_V2R180	hcy	LOC_00008945	ch2	359376901	359382733	5832	neg	intact	T2	functional	659	eviann
hcy_V2R181	hcy	LOC_00008976	ch2	361073519	361077650	4131	neg	fragmented	T2	partial	174	eviann
hcy_V2R182	hcy	LOC_00008990	ch2	361448554	362017005	568451	neg	intact	T2	functional	851	miniprot
hcy_V2R183	hcy	LOC_00008991	ch2	361773306	361774604	1298	neg	intact	T2	functional	851	miniprot
hcy_V2R184	hcy	LOC_00008993	ch2	361913488	361934366	20878	pos	intact	T2	functional	851	miniprot
hcy_V2R185	hcy	LOC_00008994	ch2	362261016	362278206	17190	pos	intact	T2	pseudogene	851	miniprot
hcy_V2R186	hcy	LOC_00008995	ch2	362281024	362300376	19352	pos	intact	T2	pseudogene	851	miniprot
hcy_V2R187	hcy	LOC_00008996	ch2	362335727	362490858	155131	pos	intact	T2	pseudogene	838	miniprot
hcy_V2R188	hcy	LOC_00008997	ch2	362470399	362477331	6932	pos	intact	T2	pseudogene	838	miniprot
hcy_V2R189	hcy	LOC_00008998	ch2	362509389	362510687	1298	pos	intact	T2	pseudogene	838	miniprot
hcy_V2R190	hcy	LOC_00008999	ch2	362540124	362543389	3265	neg	fragmented	T2	partial	180	eviann
hcy_V2R191	hcy	LOC_00009000	ch2	362598473	362635256	36783	pos	partial	T2	partial	580	eviann
hcy_V2R192	hcy	LOC_00009001	ch2	362640064	362662737	22673	pos	intact	T2	functional	849	eviann
hcy_V2R193	hcy	LOC_00009003	ch2	362823592	362845103	21511	neg	intact	T2	pseudogene	677	eviann
hcy_V2R194	hcy	LOC_00009004	ch2	363235850	363254593	18743	pos	intact	T2	functional	850	miniprot
hcy_V2R195	hcy	LOC_00009005	ch2	363455747	363466112	10365	pos	fragmented	T2	partial	191	eviann
hcy_V2R196	hcy	LOC_00009006	ch2	363536503	363557772	21269	pos	intact	T2	functional	851	miniprot
hcy_V2R197	hcy	LOC_00009009	ch2	363759052	363766012	6960	pos	fragmented	T2	partial	461	eviann
hcy_V2R198	hcy	LOC_00009010	ch2	363849180	363853057	3877	neg	fragmented	T2	partial	308	eviann
hcy_V2R199	hcy	LOC_00009011	ch2	363936966	363960962	23996	neg	intact	T2	functional	850	eviann
hcy_V2R200	hcy	LOC_00009013	ch2	364082777	364083317	540	pos	fragmented	T2	partial	178	eviann
hcy_V2R201	hcy	LOC_00009014	ch2	364146912	364161016	14104	pos	intact	T2	functional	850	miniprot
hcy_V2R202	hcy	LOC_00009015	ch2	364181115	364203742	22627	pos	intact	T2	functional	850	miniprot
hcy_V2R203	hcy	LOC_00009017	ch2	364350424	364368760	18336	pos	intact	T2	functional	850	eviann
hcy_V2R204	hcy	LOC_00009023	ch2	365653877	365675993	22116	neg	intact	T2	functional	845	eviann
hcy_V2R205	hcy	LOC_00009024	ch2	365689029	365694608	5579	pos	fragmented	T2	pseudogene	421	eviann
hcy_V2R206	hcy	LOC_00009025	ch2	365751085	365756755	5670	neg	fragmented	T2	partial	253	eviann
hcy_V2R207	hcy	LOC_00009026	ch2	365833194	365844994	11800	pos	intact	T2	functional	745	miniprot
hcy_V2R208	hcy	LOC_00009027	ch2	365898120	365925274	27154	pos	intact	T2	functional	848	miniprot
hcy_V2R209	hcy	LOC_00009028	ch2	366180254	366213811	33557	pos	intact	T2	functional	851	eviann
hcy_V2R210	hcy	LOC_00009031	ch2	367518191	367532053	13862	neg	intact	T2	functional	851	eviann
hcy_V2R211	hcy	LOC_00009041	ch2	370796998	370800516	3518	pos	fragmented	T2	partial	87	eviann
hcy_V2R212	hcy	LOC_00009042	ch2	370987015	371001055	14040	pos	fragmented	T2	partial	300	eviann
hcy_V2R213	hcy	LOC_00009043	ch2	371024999	371231552	206553	pos	fragmented	T2	partial	288	eviann
hcy_V2R214	hcy	LOC_00009798	ch4	117222	124966	7744	neg	fragmented	T2	partial	258	eviann
hcy_V2R215	hcy	LOC_00009800	ch4	222345	233722	11377	pos	fragmented	T2	partial	285	eviann
hcy_V2R216	hcy	LOC_00009803	ch4	586169	589281	3112	pos	fragmented	T2	partial	357	eviann
hcy_V2R217	hcy	LOC_00009804	ch4	648299	659517	11218	pos	fragmented	T2	partial	285	eviann
hcy_V2R218	hcy	LOC_00009807	ch4	774852	786465	11613	pos	fragmented	T2	partial	285	eviann
hcy_V2R219	hcy	LOC_00009808	ch4	939353	948665	9312	pos	fragmented	T2	partial	166	miniprot
hcy_V2R220	hcy	LOC_00010651	ch4	55237286	55240205	2919	pos	fragmented	T2	partial	109	eviann
hcy_V2R221	hcy	LOC_00011914	ch4	121727112	121730158	3046	neg	fragmented	T2	partial	355	eviann
hcy_V2R222	hcy	LOC_00011919	ch4	121936490	121940086	3596	neg	fragmented	T2	partial	355	eviann
hcy_V2R223	hcy	LOC_00012663	ch4	147498923	147532913	33990	neg	intact	T2	functional	850	eviann
hcy_V2R224	hcy	LOC_00012666	ch4	147747747	147790669	42922	neg	fragmented	T2	partial	460	eviann
hcy_V2R225	hcy	LOC_00012668	ch4	147925577	147932990	7413	neg	fragmented	T2	partial	242	eviann
hcy_V2R226	hcy	LOC_00012672	ch4	148322484	148335571	13087	neg	intact	T2	functional	851	eviann
hcy_V2R227	hcy	LOC_00012674	ch4	148420680	148421977	1297	neg	fragmented	T2	partial	325	eviann
hcy_V2R228	hcy	LOC_00012677	ch4	148733555	148741424	7869	pos	fragmented	T2	partial	242	eviann
hcy_V2R229	hcy	LOC_00012682	ch4	149042478	149044823	2345	pos	fragmented	T2	partial	281	eviann
hcy_V2R230	hcy	LOC_00012684	ch4	149118379	149121413	3034	pos	fragmented	T2	partial	109	eviann
hcy_V2R231	hcy	LOC_00012686	ch4	149255427	149266201	10774	neg	intact	T2	functional	841	eviann
hcy_V2R232	hcy	LOC_00012688	ch4	149286280	149298132	11852	neg	fragmented	T2	partial	208	eviann
hcy_V2R233	hcy	LOC_00012690	ch4	150048897	150056480	7583	pos	fragmented	T2	partial	258	eviann
hcy_V2R234	hcy	LOC_00012702	ch4	150202748	150215468	12720	pos	fragmented	T2	partial	285	eviann
hcy_V2R235	hcy	LOC_00012705	ch4	150436031	150760417	324386	pos	fragmented	T2	partial	445	eviann
hcy_V2R236	hcy	LOC_00012706	ch4	150483402	150486206	2804	neg	fragmented	T2	partial	313	eviann
hcy_V2R237	hcy	LOC_00012709	ch4	150665956	150673499	7543	neg	fragmented	T2	partial	258	eviann
hcy_V2R238	hcy	LOC_00012710	ch4	150769998	150781389	11391	neg	fragmented	T2	partial	258	eviann
hcy_V2R239	hcy	LOC_00012712	ch4	150819295	150940779	121484	neg	fragmented	T2	partial	247	eviann
hcy_V2R240	hcy	LOC_00012713	ch4	150976254	151177088	200834	pos	fragmented	T2	partial	351	eviann
hcy_V2R241	hcy	LOC_00012714	ch4	151277070	151288434	11364	pos	fragmented	T2	partial	242	eviann
hcy_V2R242	hcy	LOC_00012716	ch4	151329983	151337402	7419	pos	fragmented	T2	partial	109	eviann
hcy_V2R243	hcy	LOC_00012717	ch4	151393174	151403231	10057	pos	fragmented	T2	partial	285	eviann
hcy_V2R244	hcy	LOC_00012719	ch4	151550768	151563854	13086	neg	intact	T2	functional	849	eviann
hcy_V2R245	hcy	LOC_00012720	ch4	151576913	152010297	433384	neg	fragmented	T2	partial	351	eviann
hcy_V2R246	hcy	LOC_00012721	ch4	151938942	151952029	13087	pos	fragmented	T2	partial	496	eviann
hcy_V2R247	hcy	LOC_00012722	ch4	152353882	152414070	60188	neg	intact	T2	functional	857	eviann
hcy_V2R248	hcy	LOC_00012726	ch4	152988054	153288020	299966	neg	fragmented	T2	partial	351	eviann
hcy_V2R249	hcy	LOC_00012728	ch4	153130861	153177451	46590	pos	fragmented	T2	partial	351	eviann
hcy_V2R250	hcy	LOC_00012730	ch4	153376596	153706830	330234	pos	fragmented	T2	partial	392	eviann
hcy_V2R251	hcy	LOC_00012731	ch4	153502634	153513533	10899	neg	fragmented	T2	partial	258	eviann
hcy_V2R252	hcy	LOC_00012742	ch4	153958331	153971389	13058	neg	intact	T2	pseudogene	849	eviann
hcy_V2R253	hcy	LOC_00012743	ch4	154219797	154230205	10408	neg	fragmented	T2	partial	258	eviann
hcy_V2R254	hcy	LOC_00012744	ch4	154247920	154256682	8762	neg	fragmented	T2	partial	242	eviann
hcy_V2R255	hcy	LOC_00012749	ch4	155072530	155083045	10515	pos	fragmented	T2	partial	258	eviann
hcy_V2R256	hcy	LOC_00012750	ch4	155087330	155342193	254863	pos	fragmented	T2	partial	351	eviann
hcy_V2R257	hcy	LOC_00012752	ch4	155445466	155457841	12375	neg	intact	T2	functional	761	eviann
hcy_V2R258	hcy	LOC_00012756	ch4	155852356	155854727	2371	neg	fragmented	T2	partial	180	eviann
hcy_V2R259	hcy	LOC_00012759	ch4	156042163	156057371	15208	neg	intact	T2	functional	842	eviann
hcy_V2R260	hcy	LOC_00012760	ch4	156255247	156262851	7604	pos	fragmented	T2	partial	258	eviann
hcy_V2R261	hcy	LOC_00012761	ch4	156340218	156351029	10811	pos	fragmented	T2	partial	258	eviann
hcy_V2R262	hcy	LOC_00012762	ch4	156507080	156585319	78239	neg	intact	T2	functional	837	miniprot
hcy_V2R263	hcy	LOC_00012763	ch4	156673962	156680175	6213	neg	fragmented	T2	partial	285	eviann
hcy_V2R264	hcy	LOC_00012771	ch4	157472444	157483926	11482	pos	fragmented	T2	partial	258	eviann
hcy_V2R265	hcy	LOC_00012773	ch4	157650585	157663263	12678	neg	fragmented	T2	partial	285	eviann
hcy_V2R266	hcy	LOC_00012779	ch4	158000265	158016087	15822	pos	partial	T2	partial	583	eviann
hcy_V2R267	hcy	LOC_00012780	ch4	158144390	158162396	18006	neg	intact	T2	functional	849	miniprot
hcy_V2R268	hcy	LOC_00012781	ch4	158175686	158177848	2162	pos	fragmented	T2	partial	356	eviann
hcy_V2R269	hcy	LOC_00012783	ch4	158730944	158740672	9728	neg	fragmented	T2	partial	201	eviann
hcy_V2R270	hcy	LOC_00012787	ch4	158984288	159769527	785239	pos	intact	T2	pseudogene	848	miniprot
hcy_V2R271	hcy	LOC_00012788	ch4	159055517	159066380	10863	neg	intact	T2	pseudogene	848	miniprot
hcy_V2R272	hcy	LOC_00012790	ch4	159495642	159507144	11502	neg	intact	T2	pseudogene	848	miniprot
hcy_V2R273	hcy	LOC_00012791	ch4	159559951	159570744	10793	neg	intact	T2	pseudogene	848	miniprot
hcy_V2R274	hcy	LOC_00012792	ch4	159672339	159686772	14433	neg	intact	T2	pseudogene	848	miniprot
hcy_V2R275	hcy	LOC_00012799	ch4	160475129	160490365	15236	pos	fragmented	T2	partial	512	eviann
hcy_V2R276	hcy	LOC_00012801	ch4	160666921	160678673	11752	pos	fragmented	T2	partial	258	eviann
hcy_V2R277	hcy	LOC_00012802	ch4	160760392	160780675	20283	pos	fragmented	T2	partial	166	miniprot
hcy_V2R278	hcy	LOC_00012803	ch4	160793431	160800884	7453	neg	fragmented	T2	partial	258	eviann
hcy_V2R279	hcy	LOC_00012804	ch4	160925678	160937438	11760	pos	fragmented	T2	partial	285	eviann
hcy_V2R280	hcy	LOC_00012806	ch4	161011502	161021995	10493	pos	fragmented	T2	partial	242	eviann
hcy_V2R281	hcy	LOC_00012811	ch4	161821269	161824386	3117	pos	fragmented	T2	partial	351	eviann
hcy_V2R282	hcy	LOC_00012814	ch4	162059286	162070093	10807	pos	fragmented	T2	partial	242	eviann
hcy_V2R283	hcy	LOC_00012815	ch4	162175831	162181938	6107	neg	fragmented	T2	partial	285	eviann
hcy_V2R284	hcy	LOC_00012817	ch4	162693239	162754673	61434	neg	fragmented	T2	pseudogene	376	eviann
hcy_V2R285	hcy	LOC_00012818	ch4	162730561	162732895	2334	pos	fragmented	T2	pseudogene	251	eviann
hcy_V2R286	hcy	LOC_00012820	ch4	162831050	162834051	3001	neg	fragmented	T2	partial	180	eviann
hcy_V2R287	hcy	LOC_00012821	ch4	162855703	162863209	7506	neg	fragmented	T2	partial	258	eviann
hcy_V2R288	hcy	LOC_00012823	ch4	162958916	162966427	7511	pos	fragmented	T2	partial	206	eviann
hcy_V2R289	hcy	LOC_00012824	ch4	163012792	163016649	3857	pos	partial	T2	partial	623	eviann
hcy_V2R290	hcy	LOC_00012827	ch4	163568943	163579429	10486	neg	fragmented	T2	partial	242	eviann
hcy_V2R291	hcy	LOC_00012828	ch4	163612305	163623130	10825	pos	partial	T2	partial	583	eviann
hcy_V2R292	hcy	LOC_00012830	ch4	163718938	163740263	21325	neg	intact	T2	functional	856	eviann
hcy_V2R293	hcy	LOC_00012831	ch4	163858673	163869332	10659	neg	fragmented	T2	partial	258	eviann
hcy_V2R294	hcy	LOC_00012832	ch4	163957565	163979055	21490	pos	intact	T2	functional	851	eviann
hcy_V2R295	hcy	LOC_00012836	ch4	164670920	164681860	10940	neg	fragmented	T2	partial	242	eviann
hcy_V2R296	hcy	LOC_00012837	ch4	165150036	165377530	227494	neg	intact	T2	functional	406	eviann
hcy_V2R297	hcy	LOC_00012839	ch4	165280819	165294557	13738	pos	intact	T2	functional	845	eviann
hcy_V2R298	hcy	LOC_00012856	ch4	165890073	165892515	2442	pos	fragmented	T2	partial	109	eviann
hcy_V2R299	hcy	LOC_00012858	ch4	166015169	166033857	18688	pos	fragmented	T2	partial	318	eviann
hcy_V2R300	hcy	LOC_00012860	ch4	166254563	166267620	13057	pos	intact	T2	functional	849	eviann
hcy_V2R301	hcy	LOC_00012861	ch4	166285771	166298862	13091	pos	intact	T2	functional	849	eviann
hcy_V2R302	hcy	LOC_00012863	ch4	166592024	166595031	3007	neg	fragmented	T2	partial	364	eviann
hcy_V2R303	hcy	LOC_00012864	ch4	166675188	166688366	13178	neg	intact	T2	functional	847	eviann
hcy_V2R304	hcy	LOC_00012872	ch4	167183518	167404039	220521	neg	intact	T2	functional	578	eviann
hcy_V2R305	hcy	LOC_00012873	ch4	167218807	167238505	19698	pos	intact	T2	functional	761	eviann
hcy_V2R306	hcy	LOC_00012874	ch4	167252054	167254869	2815	pos	intact	T2	functional	356	eviann
hcy_V2R307	hcy	LOC_00012876	ch4	167516367	167526963	10596	neg	fragmented	T2	partial	258	eviann
hcy_V2R308	hcy	LOC_00012878	ch4	167870091	167887561	17470	pos	fragmented	T2	partial	512	eviann
hcy_V2R309	hcy	LOC_00012879	ch4	167921161	167926636	5475	pos	fragmented	T2	partial	245	eviann
hcy_V2R310	hcy	LOC_00012880	ch4	167943719	167944061	342	neg	NA	NA	partial	113	NA
hcy_V2R311	hcy	LOC_00012881	ch4	167960042	167981030	20988	neg	intact	T2	functional	851	eviann
hcy_V2R312	hcy	LOC_00012883	ch4	168517422	168520797	3375	neg	fragmented	T2	partial	180	eviann
hcy_V2R313	hcy	LOC_00012884	ch4	168586394	168599258	12864	neg	fragmented	T2	partial	285	eviann
hcy_V2R314	hcy	LOC_00012886	ch4	168655706	168677983	22277	neg	intact	T2	functional	851	eviann
hcy_V2R315	hcy	LOC_00012925	ch4	169424193	169431698	7505	neg	fragmented	T2	partial	258	eviann
